Author,Audiobook Count,Book Titles,Search URL
Women of the World,24,"A World of Curiosities; WOMEN WITH ADHD SMART EDITION; The Last Year of the War; With Love, From Cold World; The Nature of Fragile Things; 10 Minutes 38 Seconds in this Strange World; The Grace Year; A Bridge Across the Ocean; Slow Productivity; Barbara Pym: Some Tame Gazelle, No Fond Return of Love, Crampton Hodnet & More; There are Rivers in the Sky; Edda Mussolini; Women Who Risk; Change Your World; The World's Worst Children; A Short Walk Through a Wide World; The Librarian Spy; You Have the Power; A Woman of Firsts; Find Your People; You Are Unshaken; We'll Prescribe You a Cat; If I Were You; The Garden of Lost Secrets",https://westerncape.overdrive.com/search?query=Women%20of%20the%20World&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Jeffrey Archer,21,"Willy Visits the Square World; Willy and the Killer Kipper; By Royal Appointment; Sons of Fortune; The Eleventh Commandment; An Eye for an Eye; Over My Dead Body; Not a Penny More, Not a Penny Less; First Among Equals; As the Crow Flies; Sons of Fortune; A Matter of Honor; To Cut a Long Story Short; The Fourth Estate; Traitors Gate; Jeffrey Archer: Not a Penny More, Not a Penny Less, A Matter of Honour; A Twist in the Tale; Twelve Red Herrings; Detective Galbraith: The King of Diamonds / The Midas Touch; Desolation Code; The New Kingdom",https://westerncape.overdrive.com/search?query=Jeffrey%20Archer&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Agatha Christie,15,"Agatha Christie, Twelve Radio Mysteries; Agatha Christie, The Lost Plays; The £199 Adventure; The Secret of Chimneys; Murder on the Orient Express; Hercule Poirot's Silent Night; The Murder on the Links; The Secret Adversary; Marple; Dr Finlay; Mrs Sidhu Investigates; A Cold Highland Wind; You Are Fatally Invited; Everyone In My Family Has Killed Someone; Ink Ribbon Red",https://westerncape.overdrive.com/search?query=Agatha%20Christie&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Lee Child,11,Safe Enough; Cleaning the Gold; MatchUp; Exit Wounds; The Venice Conspiracy; Target Acquired; Wild Dogs; No Trace; Desolation Code; Golden Buddha; Buy a Bullet,https://westerncape.overdrive.com/search?query=Lee%20Child&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Louise Penny,11,Still Life; A World of Curiosities; All the Devils Are Here; Kingdom of the Blind; Glass Houses; The Madness of Crowds; A Better Man; A Great Reckoning; The Hangman; State of Terror; The Unlocking Season,https://westerncape.overdrive.com/search?query=Louise%20Penny&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
David Nicholls,8,"Sweet Sorrow; Us; You Are Here; May All Your Skies Be Blue; Love Forms; Oh, Sister; Flirting With Disaster; Small Worlds",https://westerncape.overdrive.com/search?query=David%20Nicholls&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
JoJo Moyes,8,The Giver of Stars; Paris for One; The Bride of Almond Tree; Romantic Comedy; Flirting With Disaster; The Mystery of Mercy Close; A Cornish Summer; How to Age Disgracefully,https://westerncape.overdrive.com/search?query=JoJo%20Moyes&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Elizabeth Gilbert,7,Eat Pray Love; The Great Slave; Summer of the Star; The Crane Wife; 73 Dove Street; Between Two Kingdoms; Daisy Jones and the Six,https://westerncape.overdrive.com/search?query=Elizabeth%20Gilbert&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Robert Harris,7,The Lock-Up; MatchUp; Detective Galbraith: The King of Diamonds / The Midas Touch; Playing for Pizza; Hercule Poirot's Silent Night; Target Acquired; Agent Running in the Field,https://westerncape.overdrive.com/search?query=Robert%20Harris&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Ann Patchett,6,Tom Lake; Because of Winn-Dixie; Tell Me What I Am; Madame Matisse; The Correspondent; The Lincoln Highway,https://westerncape.overdrive.com/search?query=Ann%20Patchett&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Curtis Sittenfeld,6,Romantic Comedy; So Late in the Day; Pineapple Street; The God of Good Looks; Daisy Jones and the Six; If I Had Your Face,https://westerncape.overdrive.com/search?query=Curtis%20Sittenfeld&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
