Author,Audiobook Count,Book Titles,Search URL
Jeffrey Archer,18,"Willy Visits the Square World; Willy and the Killer Kipper; By Royal Appointment; Sons of Fortune; The Eleventh Commandment; An Eye for an Eye; Over My Dead Body; Not a Penny More, Not a Penny Less; First Among Equals; As the Crow Flies; Sons of Fortune; A Matter of Honor; To Cut a Long Story Short; The Fourth Estate; Traitors Gate; Jeffrey Archer: Not a Penny More, Not a Penny Less, A Matter of Honour; A Twist in the Tale; Twelve Red Herrings",https://westerncape.overdrive.com/search?query=Jeffrey%20Archer&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Louise Penny,9,Still Life; A World of Curiosities; All the Devils Are Here; Kingdom of the Blind; Glass Houses; The Madness of Crowds; A Better Man; A Great Reckoning; The Hangman,https://westerncape.overdrive.com/search?query=Louise%20Penny&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Agatha Christie,7,"Agatha Christie, Twelve Radio Mysteries; Agatha Christie, The Lost Plays; The £199 Adventure; The Secret of Chimneys; Murder on the Orient Express; The Secret Adversary; Marple",https://westerncape.overdrive.com/search?query=Agatha%20Christie&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Jane Harper,4,Exiles; The Lost Man; The Dry; Force of Nature,https://westerncape.overdrive.com/search?query=Jane%20Harper&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
David Nicholls,3,Sweet Sorrow; Us; You Are Here,https://westerncape.overdrive.com/search?query=David%20Nicholls&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Abdulrazak Gurnah,2,Paradise; The Last Gift,https://westerncape.overdrive.com/search?query=Abdulrazak%20Gurnah&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Ali Smith,2,Gliff; The Ballad of Speedball Baby,https://westerncape.overdrive.com/search?query=Ali%20Smith&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Elizabeth Strout,2,Olive Kitteridge; My Name Is Lucy Barton,https://westerncape.overdrive.com/search?query=Elizabeth%20Strout&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
JoJo Moyes,2,The Giver of Stars; Paris for One,https://westerncape.overdrive.com/search?query=JoJo%20Moyes&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Lee Child,2,Safe Enough; MatchUp,https://westerncape.overdrive.com/search?query=Lee%20Child&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
Mohsin Hamid,2,The Last White Man; Moth Smoke,https://westerncape.overdrive.com/search?query=Mohsin%20Hamid&format=audiobook-overdrive%2Caudiobook-overdrive-provisional&sortBy=relevance
