Author,Original Count,Refined Count,Books Removed
Women of the World,24,0,24
Lee Child,11,2,9
Agatha Christie,15,7,8
Robert Harris,7,0,7
Elizabeth Gilbert,7,1,6
JoJo Moyes,8,2,6
Ann Patchett,6,1,5
Bernardine Evaristo,5,0,5
Curtis Sittenfeld,6,1,5
David Nicholls,8,3,5
Deborah Levy,5,0,5
Hilary Mantel,6,1,5
Naomi Alderman,5,0,5
Anne Enright,4,0,4
Celeste Ng,5,1,4
Elizabeth Strout,6,2,4
Ali Smith,5,2,3
Ann Cleeves,4,1,3
Jeffrey Archer,21,18,3
Kiley Reid,3,0,3
Yaa Gyasi,4,1,3
Brit Bennett,2,0,2
Jennifer Egan,2,0,2
Jonathan Franzen,2,0,2
Kevin Kwan,2,0,2
Louise Penny,11,9,2
Percival Everett,2,0,2
Tessa Hadley,3,1,2
Yiyun Li,2,0,2
Ben Lerner,1,0,1
Charlotte Brontë,2,1,1
Douglas Stuart,2,1,1
James Ellroy,1,0,1
Judith Kerr,1,0,1
Kate Atkinson,1,0,1
Kate Mosse,1,0,1
Miriam Toews,1,0,1
Monique Roffey,1,0,1
Naoise Dolan,1,0,1
Ottessa Moshfegh,1,0,1
Richard Flanagan,1,0,1
Sarah Waters,1,0,1
