id,author,book_title,original_title,date,duration,url
w3cswsss,Ngũgĩ wa Thiong'o,A Grain of Wheat,Ngũgĩ wa Thiong'o - A Grain of Wheat,9 Mar 2019,48 mins,https://www.bbc.com/audio/play/w3cswsss
w3csyx6b,Ann Cleeves,Raven Black,Ann Cleeves - Raven Black,8 Sep 2019,49 mins,https://www.bbc.com/audio/play/w3csyx6b
w3cszmx4,Yiyun Li,The Vagrants,Yiyun Li: The Vagrants,8 Nov 2020,49 mins,https://www.bbc.com/audio/play/w3cszmx4
w3csyx6j,Leïla Slimani,Lullaby,Leïla Slimani - Lullaby,8 Mar 2020,49 mins,https://www.bbc.com/audio/play/w3csyx6j
w3csyx6f,Jenny Erpenbeck,Visitation,Jenny Erpenbeck - Visitation,8 Dec 2019,49 mins,https://www.bbc.com/audio/play/w3csyx6f
w3ct5r3s,Ewald Arenz,Tasting Sunlight,Ewald Arenz: Tasting Sunlight,7 Sep 2024,49 mins,https://www.bbc.com/audio/play/w3ct5r3s
w3ct4xll,Michael Chabon,The Amazing Adventures of Kavalier and Clay,Michael Chabon: The Amazing Adventures of Kavalier and Clay,7 Oct 2023,49 mins,https://www.bbc.com/audio/play/w3ct4xll
w3csv2bp,Jane Gardam,Old Filth,Jane Gardam - Old Filth,7 Oct 2017,49 mins,https://www.bbc.com/audio/play/w3csv2bp
p036scpn,Jonathan Franzen,Freedom,Jonathan Franzen - Freedom,7 Nov 2015,50 mins,https://www.bbc.com/audio/play/p036scpn
w3ct3c7j,Bryan Washington,Memorial,Bryan Washington: Memorial,7 May 2022,49 mins,https://www.bbc.com/audio/play/w3ct3c7j
p03sqwl4,Charlotte Brontë,Jane Eyre,Charlotte Brontë - Jane Eyre,7 May 2016,49 mins,https://www.bbc.com/audio/play/p03sqwl4
w3cszmx8,Tsitsi Dangarembga,Nervous Conditions,Tsitsi Dangarembga: Nervous Conditions,7 Mar 2021,49 mins,https://www.bbc.com/audio/play/w3cszmx8
w3ct74s0,N.K Jemisin,,N.K Jemisin,7 Jun 2025,55 mins,https://www.bbc.com/audio/play/w3ct74s0
w3csyx68,Andrea Levy,Small Island,Andrea Levy - Small Island,7 Jul 2019,49 mins,https://www.bbc.com/audio/play/w3csyx68
w3cswssj,Anuradha Roy,An Atlas of Impossible Longing,Anuradha Roy: An Atlas of Impossible Longing,7 Jul 2018,49 mins,https://www.bbc.com/audio/play/w3cswssj
w3ct3c7s,Anuk Arudpragasam,A Passage North,Anuk Arudpragasam: A Passage North,7 Jan 2023,49 mins,https://www.bbc.com/audio/play/w3ct3c7s
p04n1x8c,Karl Ove Knausgaard,A Death in the Family,Karl Ove Knausgaard - A Death in the Family,7 Jan 2017,49 mins,https://www.bbc.com/audio/play/p04n1x8c
w3cszmx7,Bill Bryson,Notes from a Small Island,Bill Bryson: Notes from a Small Island,7 Feb 2021,49 mins,https://www.bbc.com/audio/play/w3cszmx7
w3ct5r3x,Douglas Stuart,Shuggie Bain,Douglas Stuart: Shuggie Bain,7 Dec 2024,49 mins,https://www.bbc.com/audio/play/w3ct5r3x
w3ct1x9q,Fyodor Dostoyevsky,Crime and Punishment,Crime and Punishment: Fyodor Dostoyevsky,7 Aug 2021,49 mins,https://www.bbc.com/audio/play/w3ct1x9q
w3csyx65,Tessa Hadley,The Past,Tessa Hadley - The Past,7 Apr 2019,49 mins,https://www.bbc.com/audio/play/w3csyx65
